product_name,description_link
SAP Archiving and Document Access by OpenText for SAP S/4HANA,https://help.sap.com/docs/ARCH_DOCACCESS_OT_S4HANA
SAP Ariba,https://help.sap.com/docs/SAP_Ariba
SAP Ariba APIs,https://help.sap.com/docs/ARIBA_APIS
SAP Ariba and SAP Business Network Tutorials,https://help.sap.com/docs/ARIBA_TUTORIALS
SAP Ariba Buying,https://help.sap.com/docs/SAP_Ariba_Buying
SAP Ariba Category Management,https://help.sap.com/docs/CATMAN
SAP Ariba Central Invoice Management,https://help.sap.com/docs/CENTRAL_INVOICE_MANAGEMENT
"SAP Integration Suite, Managed Gateway for Spend Management and SAP Business Network",https://help.sap.com/docs/ARIBA_CIG
"SAP Integration Suite, Managed Gateway for Spend Management and SAP Business Network",https://help.sap.com/docs/ARIBA_CIG
SAP Ariba Contract Price Renegotiation Add-on,https://help.sap.com/docs/CONTRACT_PRICE_RENEGOTIATION
SAP Ariba Deprecated APIs,https://help.sap.com/docs/ARIBA_DEPRECATED_APIS
SAP Ariba Intake Management,https://help.sap.com/docs/SAP_ARIBA_INTAKE_MANAGEMENT
Ariba Network Integration for SAP Business Suite,https://help.sap.com/docs/ARIBA_NETWORK_INTEGRATION_FOR_SAP_BUSINESS_SUITE
SAP Business Network for Procurement,https://help.sap.com/docs/ARIBA_NETWORK
SAP Business Network for Trading Partners,https://help.sap.com/docs/ARIBA_NETWORK_SUPPLIERS
SAP Ariba Procurement Solutions,https://help.sap.com/docs/ARIBA_PROCUREMENT
SAP Ariba Procurement Solutions,https://help.sap.com/docs/ARIBA_PROCUREMENT
SAP Ariba Shopping - Mobile,https://help.sap.com/docs/ARIBA_SHOP_MOB
SAP Ariba Strategic Sourcing Solutions,https://help.sap.com/docs/ARIBA_SOURCING
SAP Assessment Management by Questionmark,https://help.sap.com/docs/SAP_ASSESSMENT_MANAGEMENT_BY_QUESTIONMARK
SAP Asset Information Workbench by Prometheus Group,https://help.sap.com/docs/AIW
SAP Asset Lifecycle Accounting,https://help.sap.com/docs/SAP_ASSET_LIFECYCLE_ACCOUNTING
Asset Management for Oil and Gas,https://help.sap.com/docs/ASSET_MANAGEMENT_FOR_OIL_AND_GAS
SAP Asset Manager,https://help.sap.com/docs/SAP_ASSET_MANAGER
SAP Asset Manager,https://help.sap.com/docs/SAP_ASSET_MANAGER_LEGAL
SAP Asset Manager for Android,https://help.sap.com/docs/SAP_ASSET_MANAGER_ANDROID
SAP Asset Manager for iOS - OUTDATED,https://help.sap.com/docs/SAP_ASSET_MANAGER_IOS
SAP Asset Performance Management,https://help.sap.com/docs/SAP_APM
SAP Asset Retirement Obligation Management,https://help.sap.com/docs/SAP_ASSET_RETIREMENT_OBLIGATION_MANAGEMENT
SAP Assurance and Compliance Software,https://help.sap.com/docs/acs
SAP Assurance and Compliance Software for SAP S/4 HANA,https://help.sap.com/docs/acs_s4
SAP Audit Management,https://help.sap.com/docs/SAP_ASSURANCE_AND_COMPLIANCE_SOFTWARE_-_SAP_AUDIT_MANAGEMENT
SAP Audit Management for SAP S/4HANA,https://help.sap.com/docs/SAP_ASSURANCE_AND_COMPLIANCE_SOFTWARE_FOR_SAP_S_4HANA_-_SAP_AUDIT_MANAGEMENT_FOR_SAP_S_4HANA
SAP Business Integrity Screening,https://help.sap.com/docs/SAP_BUSINESS_INTEGRITY_SCREENING
SAP Business Integrity Screening for SAP S/4HANA,https://help.sap.com/docs/SAP_BUSINESS_INTEGRITY_SCREENING_FOR_SAP_S_4HANA
SAP Business Partner Screening,https://help.sap.com/docs/SAP_ASSURANCE_AND_COMPLIANCE_SOFTWARE_-_SAP_BUSINESS_PARTNER_SCREENING
SAP Business Partner Screening for SAP S/4HANA,https://help.sap.com/docs/SAP_ASSURANCE_AND_COMPLIANCE_SOFTWARE_FOR_SAP_S_4HANA_-_SAP_BUSINESS_PARTNER_SCREENING__FOR_SAP_S_4HANA
SAP Fraud Management for SAP S/4HANA,https://help.sap.com/docs/SAP_ASSURANCE_AND_COMPLIANCE_SOFTWARE_FOR_SAP_S_4HANA_-_SAP_FRAUD_MANAGEMENT_FOR_SAP_S_4HANA
SAP Tax Compliance,https://help.sap.com/docs/SAP_ASSURANCE_AND_COMPLIANCE_SOFTWARE_-_SAP_TAX_COMPLIANCE
SAP Tax Compliance for SAP S/4HANA,https://help.sap.com/docs/SAP_ASSURANCE_AND_COMPLIANCE_SOFTWARE_FOR_SAP_S_4HANA_-_SAP_TAX_COMPLIANCE_FOR_SAP_S_4HANA
SAP Audit Log Viewer NG (Beta),https://help.sap.com/docs/AUDIT_LOG
SAP Auto-ID Infrastructure,https://help.sap.com/docs/SAP_AUTO-ID_INFRASTRUCTURE
Automated Store Allocation,https://help.sap.com/docs/AUTOMATED_STORE_ALLOCATION
SAP B2B Self-Service Portal,https://help.sap.com/docs/SAP_B2B_Self_Service_Portal
SAP BTP ABAP environment,https://help.sap.com/docs/ABAP_ENVIRONMENT
SAP BW/4HANA,https://help.sap.com/docs/SAP_BW4HANA
SAP BW/4HANA Content Add-On,https://help.sap.com/docs/SAP_BW4HANA_CONTENT
"SAP BW/4HANA, Business Consolidation Add-on",https://help.sap.com/docs/SAP_BW_4HANA_BUSINESS_CONSOLIDATION_ADDON
"SAP Bank Communication Management, option for multisystem payment consolidation",https://help.sap.com/docs/SAP_BANK_COMMUNICATION_MANAGEMENT_OPTION_FOR_MULTISYSTEM_PAYMENT_CONSOLIDATION
"SAP Bank Communication Management, option for multisystem payment consolidation",https://help.sap.com/docs/SAP_BANK_COMMUNICATION_MANAGEMENT_OPTION_FOR_MULTISYSTEM_PAYMENT_CONSOLIDATION
Apps for banking services from SAP,https://help.sap.com/docs/APPS_FOR_BANKING_SERVICES_FROM_SAP
Banking APIs OD,https://help.sap.com/docs/Banking%20APIs%20OD
Cross Applications for Financial Services,https://help.sap.com/docs/CROSS_APPLICATIONS_FOR_FS
Process Object Types,https://help.sap.com/docs/PROCESS_OBJECT_TYPES
banking services from SAP,https://help.sap.com/docs/BANKING_SERVICES_FROM_SAP
localizations for banking services from SAP,https://help.sap.com/docs/LOCALIZATIONS_FOR_BANKING_SERVICES_FROM_SAP
SAP Batch Release Hub for Life Sciences,https://help.sap.com/docs/BATCH_RELEASE_HUB_LS_CLOUD
Behavioral Insights,https://help.sap.com/docs/Behavioral_Insights
SAP Best Practices For HCM,https://help.sap.com/docs/SAP_BEST_PRACTICES_FOR_HCM
SAP Best Practices,https://help.sap.com/docs/SAP_Best_Practices
SAP Best Practices Package Manager,https://help.sap.com/docs/PACKAGE_MANAGER
SAP Customer Profitability Analytics,https://help.sap.com/docs/SAP_Big_Data_Margin_Assurance
SAP Customer Profitability Analytics,https://help.sap.com/docs/SAP_Big_Data_Margin_Assurance
SAP Big Data Services 2022,https://help.sap.com/docs/SAP_BIG_DATA_SERVICES
Billing and Revenue Innovation Management,https://help.sap.com/docs/BRIM
SAP Broker Reconciliation for Commodity Derivatives,https://help.sap.com/docs/SAP_BROKER_RECONCILIATION_FOR_COMMODITY_DERIVATIVES
Budget-Based Benefits Selection,https://help.sap.com/docs/BUDGET_BASED_BENEFITS_SELECTION
SAP Budgeting and Planning for Public Sector,https://help.sap.com/docs/SAP_BUDGETING_AND_PLANNING_FOR_PUBLIC_SECTOR
SAP Build,https://help.sap.com/docs/SAP_BUILD
SAP Build Apps,https://help.sap.com/docs/BUILD_APPS
SAP Build Code,https://help.sap.com/docs/build_code
SAP Build Process Automation,https://help.sap.com/docs/PROCESS_AUTOMATION
"SAP Build Process Automation, foundation add-on by UiPath",https://help.sap.com/docs/SAP_BPA_BY_UIPATH
"SAP Build Work Zone, standard edition",https://help.sap.com/docs/WZ_STD
Built-In Support,https://help.sap.com/docs/Built-InSupport
Built-In Support,https://help.sap.com/docs/Built-InSupport
SAP Central Business Configuration,https://help.sap.com/docs/CENTRAL_BUSINESS_CONFIGURATION
SAP Central Business Configuration,https://help.sap.com/docs/CENTRAL_BUSINESS_CONFIGURATION
SAP Business Application Studio,https://help.sap.com/docs/SAP%20Business%20Application%20Studio
BYD HEALTH CHECKS,https://help.sap.com/docs/BYD_HEALTH_CHECKS
SAP Business ByDesign,https://help.sap.com/docs/SAP_BUSINESS_BYDESIGN
SAP Business Client,https://help.sap.com/docs/SAP_BUSINESS_CLIENT
SAP Business Data Cloud,https://help.sap.com/docs/SAP_BUSINESS_DATA_CLOUD
SAP Business Network,https://help.sap.com/docs/SAP_Business_Network
SAP Business Network Asset Collaboration,https://help.sap.com/docs/SAP_BUSINESS_NETWORK_ASSET_COLLABORATION
"SAP Business Network Logistics Provider, basic membership",https://help.sap.com/docs/business-network-logistics-provider
"SAP Business Network Supply Chain Collaboration, clinical trials add-on",https://help.sap.com/docs/LS_CMO_BTP
SAP Business Network for Planning Collaboration,https://help.sap.com/docs/SBN_PLANNING_COLLA
SAP Business Network for Supply Chain,https://help.sap.com/docs/ARIBA_SCC
"SAP Business Network, project44 Add-Ons",https://help.sap.com/docs/SAP_LBN_P44_ADDONS
SAP Business One,https://help.sap.com/docs/SAP_BUSINESS_ONE
SAP Business One Cloud,https://help.sap.com/docs/SAP_BUSINESS_ONE_CLOUD
SAP Business One Cloud hosted by SAP,https://help.sap.com/docs/SAP_BUSINESS_ONE_CLOUD_HOSTED_BY_SAP
SAP Business One Integration Hub,https://help.sap.com/docs/SAP_BUSINESS_ONE_INTEGRATION_HUB
SAP Business One Product Line,https://help.sap.com/docs/SAP_BUSINESS_ONE_PRODUCT_LINE
SAP Business One Sales for Android,https://help.sap.com/docs/SAP_BUSINESS_ONE_SALES_FOR_ANDROID
SAP Business One Sales for iOS,https://help.sap.com/docs/SAP_BUSINESS_ONE_SALES_FOR_IOS
SAP Business One Service for Android,https://help.sap.com/docs/SAP_BUSINESS_ONE_SERVICE_FOR_ANDROID
SAP Business One Service for iOS,https://help.sap.com/docs/SAP_BUSINESS_ONE_SERVICE_FOR_IOS
SAP Business One analytics powered by SAP HANA,https://help.sap.com/docs/SAP_BUSINESS_ONE_ANALYTICS_POWERED_BY_SAP_HANA
SAP Business One for Android,https://help.sap.com/docs/SAP_BUSINESS_ONE_FOR_ANDROID
SAP Business One for iOS,https://help.sap.com/docs/SAP_BUSINESS_ONE_FOR_IOS
SAP Business One integration for SAP NetWeaver,https://help.sap.com/docs/SAP_BUSINESS_ONE_INTEGRATION_FOR_SAP_NETWEAVER
"SAP Business One, version for SAP HANA",https://help.sap.com/docs/SAP_BUSINESS_ONE_VERSION_FOR_SAP_HANA
Integration Framework for SAP Business One,https://help.sap.com/docs/INTEGRATION_FRAMEWORK_FOR_SAP_BUSINESS_ONE
Intercompany integration solution for SAP Business One,https://help.sap.com/docs/INTERCOMPANY_INTEGRATION_SOLUTION_FOR_SAP_BUSINESS_ONE
Remote Support Platform for SAP Business One,https://help.sap.com/docs/REMOTE_SUPPORT_PLATFORM_FOR_SAP_BUSINESS_ONE
"SAP Business Planning and Consolidation, version for SAP BW/4HANA",https://help.sap.com/docs/SAP_BPC_VERSION_BW4HANA
"SAP Business Planning and Consolidation, version for SAP NetWeaver","https://help.sap.com/docs/SAP_BUSINESS_PLANNING_AND_CONSOLIDATION,_VERSION_FOR_SAP_NETWEAVER"
"SAP Business Planning and Consolidation, version for the Microsoft platform","https://help.sap.com/docs/SAP_BUSINESS_PLANNING_AND_CONSOLIDATION,_VERSION_FOR_THE_MICROSOFT_PLATFORM"
SAP Signavio Process Insights,https://help.sap.com/docs/BPI
SAP Signavio Process Insights,https://help.sap.com/docs/BPI
"SAP Business Suite, country-specifics",https://help.sap.com/docs/SAP_BUSINESS_SUITE_COUNTRY-SPECIFICS
SAP ASE Service,https://help.sap.com/docs/ASE_SERVICE
SAP Alert Notification Service for SAP BTP,https://help.sap.com/docs/ALERT_NOTIFICATION
Application Autoscaler,https://help.sap.com/docs/Application_Autoscaler
SAP Application Logging Service for SAP BTP,https://help.sap.com/docs/APPLICATION_LOGGING
SAP Authorization and Trust Management Service,https://help.sap.com/docs/CP_AUTHORIZ_TRUST_MNG
SAP Automation Pilot,https://help.sap.com/docs/AUTOMATION_PILOT
SAP BTP Connectivity,https://help.sap.com/docs/CP_CONNECTIVITY
SAP BTP SDK for Android,https://help.sap.com/docs/SAP_BTP_SDK_FOR_ANDROID
SAP BTP SDK for iOS,https://help.sap.com/docs/SAP_BTP_SDK_FOR_IOS
"SAP BTP, Cloud Foundry Runtime",https://help.sap.com/docs/CF_RUNTIME
"SAP BTP, Serverless Runtime",https://help.sap.com/docs/XF_SERVERLESS_RUNTIME
SAP Business Technology Platform (SAP BTP),https://help.sap.com/docs/BTP
SAP Cloud Identity Services,https://help.sap.com/docs/IDENTITY_AUTHENTICATION
SAP Cloud Identity Services - Identity Provisioning in the Neo Environment,https://help.sap.com/docs/IDENTITY_PROVISIONING
SAP Cloud Integration,https://help.sap.com/docs/CLOUD_INTEGRATION
Cloud Integration Automation Service,https://help.sap.com/docs/Cloud%20Integration%20Automation%20Service
SAP Cloud Integration for data services,https://help.sap.com/docs/SAP_CLOUD_PLATFORM_INTEGRATION_FOR_DATA_SERVICES
SAP Cloud Portal Service,https://help.sap.com/docs/Portal_Service
SAP Cloud Transport Management,https://help.sap.com/docs/TRANSPORT_MANAGEMENT_SERVICE
SAP Content Agent Service,https://help.sap.com/docs/CONTENT_AGENT_SERVICE
SAP Continuous Integration and Delivery,https://help.sap.com/docs/CONTINUOUS_DELIVERY
SAP Credential Store,https://help.sap.com/docs/CREDENTIAL_STORE
SAP Custom Domain Service,https://help.sap.com/docs/CUSTOM_DOMAINS
SAP Data Privacy Integration,https://help.sap.com/docs/DATA_PRIVACY_INTEGRATION
SAP Data Retention Manager,https://help.sap.com/docs/DATA_RETENTION_MANAGER
DevOps with SAP BTP,https://help.sap.com/docs/DEVOPS_OVERVIEW
SAP Document Management Service,https://help.sap.com/docs/DOCUMENT_MANAGEMENT
SAP Document Service,https://help.sap.com/docs/DOCUMENT_SERVICE
Dynatrace Agent Activation for SAP BTP,https://help.sap.com/docs/DYNATRACE_AGENT_ACTIVATION
SAP Event Mesh,https://help.sap.com/docs/SAP_EM
SAP Feature Flags Service,https://help.sap.com/docs/FEATURE_FLAGS
SAP Forms Service by Adobe,https://help.sap.com/docs/CP_FORMS_BY_ADOBE
SAP Git service,https://help.sap.com/docs/GIT_SERVICE
SAP HANA Service for SAP BTP,https://help.sap.com/docs/HANA_SERVICE
SAP HANA Service for SAP BTP in AWS Regions,https://help.sap.com/docs/HANA_SERVICE_CF
SAP HANA Service for SAP BTP in SAP Regions,https://help.sap.com/docs/HANA_SERVICE_SAP_CP
SAP HANA Service for SAP BTP on the China (Shanghai) Region,https://help.sap.com/docs/HANA_SERVICE_ALIBABA_CLOUD
HTML5 Applications,https://help.sap.com/docs/HTML5_APPLICATIONS
SAP IoT services for SAP BTP,https://help.sap.com/docs/SAP_CP_IOT_NEO
SAP IoT services for SAP BTP,https://help.sap.com/docs/SAP_CP_IOT
SAP IoT services for SAP BTP for the Cloud Foundry Environment,https://help.sap.com/docs/SAP_CP_IOT_CF
Java ALM for SAP BTP,https://help.sap.com/docs/LIFECYCLE_MGMT
SAP Job Scheduling Service,https://help.sap.com/docs/JOB_SCHEDULER
SAP Launchpad Service,https://help.sap.com/docs/Launchpad_Service
SAP Malware Scanning Service,https://help.sap.com/docs/MALWARE_SCANNING
SAP Master Data Integration,https://help.sap.com/docs/SAP_MASTER_DATA_INTEGRATION
SAP Master Data Service for Business Partners,https://help.sap.com/docs/SAP_Cloud_Platform_Master_Data_for_Business_Partners
SAP Mobile Services,https://help.sap.com/docs/SAP_MOBILE_SERVICES
"SAP Mobile Services, mobile development kit",https://help.sap.com/docs/MDK
SAP Monitoring Service for SAP BTP,https://help.sap.com/docs/MONITORING_SERVICE
SAP OData Provisioning,https://help.sap.com/docs/ODATA_PROVISIONING
Object Store on SAP BTP,https://help.sap.com/docs/ObjectStore
SAP Open Connectors,https://help.sap.com/docs/OPEN_CONNECTORS
SAP Personal Data Manager,https://help.sap.com/docs/PERSONAL_DATA_MANAGER
SAP Print Service,https://help.sap.com/docs/SCP_PRINT_SERVICE
SAP Rapid Application Development by Mendix,https://help.sap.com/docs/Mendix
SAP Responsibility Management Service,https://help.sap.com/docs/RESPONSIBILITY_MANAGEMENT_SCP
SAP Service Manager,https://help.sap.com/docs/SERVICEMANAGEMENT
SAP Solutions Lifecycle Management Service for SAP BTP,https://help.sap.com/docs/SOLUTIONS_LIFECYCLE_MANAGEMENT
SAP Streaming Analytics for the Neo Environment,https://help.sap.com/docs/Streaming_Analytics
SAP Translation Hub,https://help.sap.com/docs/SAP_TRANSLATION_HUB
SAP Watch List Screening,https://help.sap.com/docs/SAP_WATCH_LIST_SCREENING
SAP Web Analytics,https://help.sap.com/docs/SAP_WEB_ANALYTICS
SAP Workflow Management,https://help.sap.com/docs/WORKFLOW_MANAGEMENT
"SAP Workflow Management, business rules capability",https://help.sap.com/docs/BUSINESS_RULES
SAP Workflow Service,https://help.sap.com/docs/WORKFLOW_SERVICE
SAP Business Transformation Center,https://help.sap.com/docs/BTC
"SAP BusinessObjects Analysis, edition for OLAP","https://help.sap.com/docs/SAP_BUSINESSOBJECTS_ANALYSIS,_EDITION_FOR_OLAP"
SAP BusinessObjects Business Intelligence Platform,https://help.sap.com/docs/SAP_BUSINESSOBJECTS_BUSINESS_INTELLIGENCE_PLATFORM
SAP BusinessObjects Edge BI,https://help.sap.com/docs/SAP_BUSINESSOBJECTS_EDGE_BI
SAP BusinessObjects Enterprise / Business Intelligence Platform,https://help.sap.com/docs/SAP_BUSINESSOBJECTS_ENTERPRISE_BUSINESS_INTELLIGENCE_PLATFORM
"SAP BusinessObjects Mobile Server, BI","https://help.sap.com/docs/SAP_BUSINESSOBJECTS_MOBILE_SERVER,_BI"
"SAP BusinessObjects Mobile Server, XI","https://help.sap.com/docs/SAP_BUSINESSOBJECTS_MOBILE_SERVER,_XI"
SAP BusinessObjects Mobile for Android,https://help.sap.com/docs/SAP_BUSINESSOBJECTS_MOBILE_FOR_ANDROID
SAP BusinessObjects Mobile for iOS,https://help.sap.com/docs/SAP_BUSINESSOBJECTS_MOBILE_FOR_IOS
SAP BusinessObjects Web Intelligence,https://help.sap.com/docs/SAP_BUSINESSOBJECTS_WEB_INTELLIGENCE
"SAP Edge Services, on-premise edition",https://help.sap.com/docs/SAP_EDGE_SERVICES_OP
Edge solution,https://help.sap.com/docs/EDGE_SOLUTION
"Edge solution, standard package","https://help.sap.com/docs/EDGE_SOLUTION,_STANDARD_PACKAGE"
"Edge solution, standard package (not for SAP ERP)","https://help.sap.com/docs/EDGE_SOLUTION,_STANDARD_PACKAGE_(NOT_FOR_SAP_ERP)"
"Edge solution, version with data integration","https://help.sap.com/docs/EDGE_SOLUTION,_VERSION_WITH_DATA_INTEGRATION"
"Edge solution, version with data integration (not for SAP ERP)","https://help.sap.com/docs/EDGE_SOLUTION,_VERSION_WITH_DATA_INTEGRATION_(NOT_FOR_SAP_ERP)"
"Edge solution, version with data management","https://help.sap.com/docs/EDGE_SOLUTION,_VERSION_WITH_DATA_MANAGEMENT"
"Edge solution, version with data management (not for SAP ERP)","https://help.sap.com/docs/EDGE_SOLUTION,_VERSION_WITH_DATA_MANAGEMENT_(NOT_FOR_SAP_ERP)"
SAP Information platform services,https://help.sap.com/docs/SAP_INFORMATION_PLATFORM_SERVICES
Integration for SAP Solutions,https://help.sap.com/docs/INTEGRATION_FOR_SAP_SOLUTIONS
